Vote_Data_Donald_Trump_Percent_of_Votes,Vote_Data_Ted_Cruz_Percent_of_Votes,Vote_Data_John_Kasich_Percent_of_Votes,Vote_Data_Marco_Rubio_Percent_of_Votes,Vote_Data_Ben_Carson_Percent_of_Votes
39.2,33.5,8.7,0,0
67.3,15.3,17.4,0,0
41.4,23.3,3.6,15.5,13.2
54.7,19.4,2.7,12.8,9.1
42.5,26.5,4.7,15.8,8.5
35.1,6.7,29.2,24.9,1.7
29.4,47.4,2.7,10,5.9
47.4,19.7,3.1,17.7,10.9
57.3,14.3,26.4,0,0
29.9,10.1,34.7,19.3,3
37.7,41.8,10.8,7.2,0
67.4,15.3,16,0,0
29.6,50.5,1.5,9.1,5.5
37.2,35.7,14.5,8.6,0
66.6,16,9,0,0
69.6,13.5,7.5,0,0
43.3,20.5,4.2,17.4,5.2
46.1,16.2,10.8,23.9,0
25.6,39.6,5.9,23.3,3.5
26.9,46.7,1.6,11.6,10.7
48.7,14.8,3.3,26,5.6
28.7,52,2.6,12.5,2.7
49.6,23.4,3.3,12.9,8.5
55.9,0.8,26.8,12.6,0.8
36.5,30,3.3,20.1,6.6
61.3,11.5,26.2,0,0
48,29.1,3.2,17.1,0
34.6,30.4,4.3,21.7,8
57.3,15.5,27.1,0,0
67.7,19.5,12.8,0,0
67.2,18.9,11.7,0,0
81.4,7.3,7.3,0,0
39.5,40.4,17.2,0,0
46.7,12,37.5,2,0
60.7,27.9,5.1,4.2,0
83.4,6.8,6.7,0,0
26.2,45.2,3.6,17.7,4.1
29,41.7,3.9,17.3,6.3
31.2,47.7,1.4,11,4.8
32.2,40.8,3.1,10.9,7
26.2,6.7,34.9,27,2.4
47.9,8.6,16,20.9,3.1
48.7,30.3,2.9,10,0
59,16,1.3,10.8,10.5
25.2,48.8,9.7,14.7,0
24.7,45.9,10.7,17.3,0
20.4,41.7,15.4,21.9,0
22,58.3,6.2,12.7,0
70.4,8.6,17.1,0,0
36.2,33.3,1.4,22.4,4.5
42.5,6.3,24.7,19.5,4.6
41.5,23,24.2,9.5,0
54.7,23.1,2,10.7,7.9
30.8,47.4,2.9,11.3,4.5
40.5,44.5,8.3,4.4,0
38.2915278,10.52446939,16.52341694,10.78758113,2.981932994
78.7,11.5,9.8,0,0
55.3,19.5,3,10.8,9
54.9,31.1,7.1,4.4,0
48.5,9.6,25,9.6,5.1
50,6.5,39.8,0,0
22.3,8.6,38.8,24.5,2.2
70.8,20.8,8.4,0,0
44.4,22.9,32.8,0,0
31.1,43,2.9,11.4,5.3
42.1,13.4,40.2,2.3,0
27,56,1.3,4.7,5.3
23.8,52.4,2,12.6,7.4
59.1,14.1,25.5,0,0
71.7,9.4,17.9,0,0
42,8.4,22.7,21,5
48.1,18.5,3.4,13.3,13.3
56,35.4,4.2,2.5,0
46.6,15.8,6.2,23.2,7.3
37.9,25.5,5.2,23,7.1
80,9.1,7.1,0,0
25,6.3,43.8,15.6,7.8
34.7,34.4,3,19.1,8.2
47.1,28.4,2.1,16,5.3
27.9,33.4,3.9,25.5,6.9
24.1,45.3,1.1,16.4,4.9
72.2,7.6,19.1,0,0
44.7,34.2,11.4,7,0
32,37.1,2.3,21.2,5.6
51.9,22.1,3.3,13.8,7.8
30.6,32.3,1.1,16.3,9
41.7,34.2,13,7.2,0
60.2,32.8,2.9,0,0
49,20.8,16.4,8.4,0
53,36.8,3.8,3.7,0
36.4,20.4,39.4,2,0
55.3,25.7,16.3,0,0
45.3,38,13.2,0,0
32.3,37,2.4,20.7,6.2
54.5,21.9,2.6,9.1,10.4
50.2,22.2,3.4,16.6,6.2
44.4,25.9,3,17.8,5.4
40,34.6,9,14.3,0
